instance_id,deck_id,platform,mode,version,effective_date,card_name,card_variant,card_type,suit,color,rank,quantity,card_key,equip_slot,distance_modifier,source,source_type,verification_status,verified_date,notes
sgs-mobile-20260725-001,sgs_mobile_non_special_20260725_unofficial,三国杀移动版,常规军争身份模式；排位2v2；斗地主；八人军争限时变体,2026-07-25时的版本,2026-07-25,诸葛连弩,无,装备牌,♦,红,A,1,sgs_weapon_zhugeliannu,weapon,,初始来源为非官方网络UP主转录；后经用户与实际卡牌逐张核对,unofficial_transcription_then_user_verified,user_verified_against_actual_cards,2026-07-27,用户原始明细；颜色由花色推导；类别按牌名结构化；未进行官方核验；核验状态不代表官方逐牌认证；卡面正式文本已由用户提供并确认（IN_GAME_CARD_TEXT_CONFIRMED，2026-08-08，移动版）
sgs-mobile-20260725-002,sgs_mobile_non_special_20260725_unofficial,三国杀移动版,常规军争身份模式；排位2v2；斗地主；八人军争限时变体,2026-07-25时的版本,2026-07-25,决斗,无,锦囊牌,♦,红,A,1,sgs_trick_juedou,,,初始来源为非官方网络UP主转录；后经用户与实际卡牌逐张核对,unofficial_transcription_then_user_verified,user_verified_against_actual_cards,2026-07-27,用户原始明细；颜色由花色推导；类别按牌名结构化；未进行官方核验；核验状态不代表官方逐牌认证；卡面正式文本已由用户提供并确认（IN_GAME_CARD_TEXT_CONFIRMED，2026-08-09，移动版军争卡组/卡牌说明截图）；用户移动版决斗实际牌局记录确认：目标先响应、双方交替打出【杀】、普通/火/雷杀均可满足“打出一张【杀】”（USER_CONFIRMED_MOBILE_RULE，2026-08-09）
sgs-mobile-20260725-003,sgs_mobile_non_special_20260725_unofficial,三国杀移动版,常规军争身份模式；排位2v2；斗地主；八人军争限时变体,2026-07-25时的版本,2026-07-25,朱雀羽扇,无,装备牌,♦,红,A,1,sgs_weapon_zhuqueyushan,weapon,,初始来源为非官方网络UP主转录；后经用户与实际卡牌逐张核对,unofficial_transcription_then_user_verified,user_verified_against_actual_cards,2026-07-27,用户原始明细；颜色由花色推导；类别按牌名结构化；未进行官方核验；核验状态不代表官方逐牌认证
sgs-mobile-20260725-004,sgs_mobile_non_special_20260725_unofficial,三国杀移动版,常规军争身份模式；排位2v2；斗地主；八人军争限时变体,2026-07-25时的版本,2026-07-25,闪,无,基本牌,♦,红,2,1,sgs_basic_shan,,,初始来源为非官方网络UP主转录；后经用户与实际卡牌逐张核对,unofficial_transcription_then_user_verified,user_verified_against_actual_cards,2026-07-27,用户原始明细；颜色由花色推导；类别按牌名结构化；未进行官方核验；核验状态不代表官方逐牌认证
sgs-mobile-20260725-005,sgs_mobile_non_special_20260725_unofficial,三国杀移动版,常规军争身份模式；排位2v2；斗地主；八人军争限时变体,2026-07-25时的版本,2026-07-25,闪,无,基本牌,♦,红,2,1,sgs_basic_shan,,,初始来源为非官方网络UP主转录；后经用户与实际卡牌逐张核对,unofficial_transcription_then_user_verified,user_verified_against_actual_cards,2026-07-27,用户原始明细；颜色由花色推导；类别按牌名结构化；未进行官方核验；核验状态不代表官方逐牌认证
sgs-mobile-20260725-006,sgs_mobile_non_special_20260725_unofficial,三国杀移动版,常规军争身份模式；排位2v2；斗地主；八人军争限时变体,2026-07-25时的版本,2026-07-25,桃,无,基本牌,♦,红,2,1,sgs_basic_tao,,,初始来源为非官方网络UP主转录；后经用户与实际卡牌逐张核对,unofficial_transcription_then_user_verified,user_verified_against_actual_cards,2026-07-27,用户原始明细；颜色由花色推导；类别按牌名结构化；未进行官方核验；核验状态不代表官方逐牌认证
sgs-mobile-20260725-007,sgs_mobile_non_special_20260725_unofficial,三国杀移动版,常规军争身份模式；排位2v2；斗地主；八人军争限时变体,2026-07-25时的版本,2026-07-25,闪,无,基本牌,♦,红,3,1,sgs_basic_shan,,,初始来源为非官方网络UP主转录；后经用户与实际卡牌逐张核对,unofficial_transcription_then_user_verified,user_verified_against_actual_cards,2026-07-27,用户原始明细；颜色由花色推导；类别按牌名结构化；未进行官方核验；核验状态不代表官方逐牌认证
sgs-mobile-20260725-008,sgs_mobile_non_special_20260725_unofficial,三国杀移动版,常规军争身份模式；排位2v2；斗地主；八人军争限时变体,2026-07-25时的版本,2026-07-25,顺手牵羊,无,锦囊牌,♦,红,3,1,sgs_trick_shunshouqianyang,,,初始来源为非官方网络UP主转录；后经用户与实际卡牌逐张核对,unofficial_transcription_then_user_verified,user_verified_against_actual_cards,2026-07-27,用户原始明细；颜色由花色推导；类别按牌名结构化；未进行官方核验；核验状态不代表官方逐牌认证
sgs-mobile-20260725-009,sgs_mobile_non_special_20260725_unofficial,三国杀移动版,常规军争身份模式；排位2v2；斗地主；八人军争限时变体,2026-07-25时的版本,2026-07-25,桃,无,基本牌,♦,红,3,1,sgs_basic_tao,,,初始来源为非官方网络UP主转录；后经用户与实际卡牌逐张核对,unofficial_transcription_then_user_verified,user_verified_against_actual_cards,2026-07-27,用户原始明细；颜色由花色推导；类别按牌名结构化；未进行官方核验；核验状态不代表官方逐牌认证
sgs-mobile-20260725-010,sgs_mobile_non_special_20260725_unofficial,三国杀移动版,常规军争身份模式；排位2v2；斗地主；八人军争限时变体,2026-07-25时的版本,2026-07-25,闪,无,基本牌,♦,红,4,1,sgs_basic_shan,,,初始来源为非官方网络UP主转录；后经用户与实际卡牌逐张核对,unofficial_transcription_then_user_verified,user_verified_against_actual_cards,2026-07-27,用户原始明细；颜色由花色推导；类别按牌名结构化；未进行官方核验；核验状态不代表官方逐牌认证
